Date,High,Low,Open,Close,Volume,Adj Close
2019-06-03,6.610000133514404,6.090000152587891,6.389999866485596,6.409999847412109,41835122,6.409999847412109
2019-06-04,6.519999980926514,6.110000133514404,6.389999866485596,6.170000076293945,32555017,6.170000076293945
2019-06-05,6.550000190734863,6.130000114440918,6.25,6.329999923706055,31572832,6.329999923706055
2019-06-06,6.329999923706055,6.03000020980835,6.329999923706055,6.070000171661377,24836692,6.070000171661377
2019-06-10,6.28000020980835,6.090000152587891,6.110000133514404,6.210000038146973,18568538,6.210000038146973
2019-06-11,6.440000057220459,6.119999885559082,6.21999979019165,6.429999828338623,32117366,6.429999828338623
2019-06-12,6.559999942779541,6.340000152587891,6.429999828338623,6.489999771118164,32237565,6.489999771118164
2019-06-13,6.579999923706055,6.369999885559082,6.449999809265137,6.519999980926514,29506902,6.519999980926514
2019-06-14,6.550000190734863,6.239999771118164,6.5,6.260000228881836,22695403,6.260000228881836
2019-06-17,6.28000020980835,6.119999885559082,6.260000228881836,6.260000228881836,13466721,6.260000228881836
2019-06-18,6.260000228881836,6.110000133514404,6.239999771118164,6.179999828338623,10556850,6.179999828338623
2019-06-19,6.389999866485596,6.190000057220459,6.349999904632568,6.190000057220459,20779562,6.190000057220459
2019-06-20,6.289999961853027,6.050000190734863,6.199999809265137,6.239999771118164,27566440,6.239999771118164
2019-06-21,6.429999828338623,6.239999771118164,6.260000228881836,6.320000171661377,29394051,6.320000171661377
2019-06-24,6.369999885559082,6.170000076293945,6.360000133514404,6.21999979019165,20320645,6.21999979019165
2019-06-25,6.230000019073486,6.039999961853027,6.21999979019165,6.139999866485596,23549703,6.139999866485596
2019-06-26,6.179999828338623,6.050000190734863,6.119999885559082,6.090000152587891,11250700,6.090000152587891
2019-06-27,6.210000038146973,6.099999904632568,6.110000133514404,6.110000133514404,13284583,6.110000133514404
2019-06-28,6.110000133514404,5.730000019073486,6.110000133514404,5.880000114440918,22117949,5.880000114440918
2019-07-01,6.090000152587891,5.989999771118164,6.010000228881836,6.070000171661377,20440913,6.070000171661377
2019-07-02,6.110000133514404,5.980000019073486,6.099999904632568,6.0,12825392,6.0
2019-07-03,5.940000057220459,5.809999942779541,5.929999828338623,5.809999942779541,13961860,5.809999942779541
2019-07-04,5.860000133514404,5.699999809265137,5.840000152587891,5.71999979019165,12432052,5.71999979019165
